taxa,PFT
ABBA,EBF
ABCO,EBF
ABFR,EBF
ACNEN,DBF
ACPE,DBF
ACPL,DBF
ACRU,DBF
ACSA2,DBF
ACSA3,DBF
AEFL,DBF
AEGL,DBF
AIAL,DBF
ALGL2,DBF
ALJU,DBF
AMAR3,DBF
ASTR,DBF
AVGE,EBF
BEAL2,DBF
BELE,DBF
BENI,DBF
BEPA,DBF
BEPO,DBF
BUSI,DBF
CAAL27,DBF
CAAQ2,DBF
CABI8,DBF
CACA18,DBF
CACO15,DBF
CADE12,DBF
CAIL2,DBF
CALA21,DBF
CAMO83,DBF
CAMY,DBF
CAOV2,DBF
CAOV3,DBF
CAPA24,DBF
CAPU9,DBF
CATE9,DBF
CECA4,DBF
CELA,DBF
CEOC,DBF
CHTH2,DBF
CICA,DBF
CLKE,DBF
CODI8,DBF
COER2,DBF
COFL2,DBF
COOB2,DBF
CRATEG,DBF
CRCH,DBF
CRMO2,DBF
DIVI5,EBF
ELAN,DBF
FAGR,DBF
FIAU,DBF
FRAM2,DBF
FRCA3,DBF
FRNI,DBF
FRPE,DBF
FRPR,DBF
FRQU,DBF
GLAQ,DBF
GLTR,DBF
GOLA,DBF
GUDI,DBF
GYDI,DBF
HACA3,DBF
HADI3,DBF
HALES,DBF
ILOP,DBF
JUAS,EBF
JUCI,EBF
JUGLA,DBF
JUNI,DBF
JUVI,EBF
LALA,EBF
LARA2,EBF
LARIX,EBF
LIST2,DBF
LITU,EBF
MAAC,DBF
MAAN3,DBF
MACO5,DBF
MAFR,DBF
MAGR4,DBF
MALUS,DBF
MAMA2,DBF
MAPO,DBF
MATR,DBF
MAVI2,DBF
MEAZ,DBF
MEQU,DBF
METO3,DBF
MOAL,DBF
MORU2,DBF
NYAQ2,DBF
NYBI,DBF
NYOG,DBF
NYSY,DBF
OSVI,DBF
OXAR,DBF
PATO2,DBF
PEBO,DBF
PIAB,EBF
PIBA2,EBF
PICL,EBF
PIEC2,EBF
PIEL,EBF
PIGL,EBF
PIGL2,EBF
PIMA,EBF
PINI,EBF
PIPA2,EBF
PIPO,EBF
PIPU,EBF
PIPU5,EBF
PIRE,EBF
PIRI,EBF
PIRU,EBF
PISE,EBF
PIST,EBF
PISY,EBF
PITA,EBF
PIVI2,EBF
PLAQ,EBF
PLOC,EBF
POAL7,DBF
POBA2,DBF
PODE3,DBF
POGR4,DBF
POHE4,DBF
POTR5,DBF
PRAM,DBF
PRAV,DBF
PRCE,DBF
PRNI,DBF
PRPE2,DBF
PRPE3,DBF
PRSE2,DBF
PRVI,DBF
PSME,DBF
QUAL,DBF
QUBI,DBF
QUCO2,DBF
QUEL,DBF
QUERCUS,DBF
QUFA,DBF
QUIL,DBF
QUIM2,DBF
QUIN2,DBF
QULA2,DBF
QULA3,DBF
QULY,DBF
QUMA2,DBF
QUMA3,DBF
QUMA6,DBF
QUMI,DBF
QUMI2,DBF
QUMU,DBF
QUNI,DBF
QUOG,DBF
QUPA2,DBF
QUPA5,DBF
QUPH,DBF
QUPR2,DBF
QURU,DBF
QUSH,DBF
QUSI2,DBF
QUST,DBF
QUVE,DBF
QUVI,DBF
RHMA2,DBF
ROPS,DBF
SAAL2,DBF
SAAL5,DBF
SAAM2,DBF
SABE2,DBF
SACA5,DBF
SALI,DBF
SANI,DBF
SAPA,DBF
SAPY,DBF
SISA,EBF
SOAM3,EBF
SODE3,EBF
SWMA2,EBF
TADI2,EBF
THOC2,EBF
TIAM,EBF
TRSE6,EBF
TSCA,EBF
TSCA2,EBF
ULAL,DBF
ULAM,DBF
ULCR,DBF
ULPU,DBF
ULRU,DBF
ULSE,DBF
ULTH,DBF
VEFO,DBF
