sampleID.x,points,individualID,uid,namedLocation,date,eventID,domainID,siteID,plotID,subplotID,nestedSubplotID,pointID,stemDistance,stemAzimuth,recordType,supportingStemIndividualID,previouslyTaggedAs,samplingProtocolVersion,taxonID,scientificName,taxonRank,measuredBy,recordedBy,dataQF,api.utmZone,geoEasting,geoNorthing,adjCoordinateUncertainty,adjDecimalLatitude,adjDecimalLongitude,api.elevation,adjElevationUncertainty,collectDate,nitrogenPercent,carbonPercent,CNratio,extractChlAConc,extractChlBConc,extractCarotConc,dryMass,plantStatus,ligninPercent,cellulosePercent,leafArea,leafMassPerArea,dryMassFraction,plotType,subtype,plotLatitude,plotLongitude,datum,utmZone,plotEasting,plotNorthing,horzUncert,crdSource,elevation,vertUncert,nlcdClass,appMods,geometry,shpEasting,shpNorthing,longitude,latitude,H,DTM,ope,ect
CFC.BONA002.PIMA-3.20190730,BONA_002.basePlot.vst.41,NEON.PLA.D19.BONA.01450,18b1ed7c-7a3b-459f-8c65-857bbe6cc26c,BONA_002.basePlot.vst,8/14/17,vst_BONA_2017,D19,BONA,BONA_002,32,NaN,41,9.6,156.7,NA,NA,NA,NEON.DOC.000987vG,PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226774.65,475297.5119,0.73,65.163534,-147.527149,484.21,1.17,2019-07-30T21:25:00Z,1.31,47.8,40.2,15.993,4.982,3.122,1.209,OK,9.73,13.14,4783.974,252.718765,0.452131638,distributed,basePlot,65.163534,-147.527149,WGS84,6N,475293.729,7226783.426,0.13,Geo 7X,484.21,0.17,deciduousForest,bgc|cdw|cfc|dhp|hbp|sme|vst,"c(-147.527149, 65.163534)",475297.5262,7226774.609,-147.5270661,65.16345482,9.68999958,486.1631241,5.791749999,189.0900621
CFC.BONA008.BENE4-4.20190731,BONA_008.basePlot.vst.41,NEON.PLA.D19.BONA.03044,77e965eb-5adb-40ab-b363-decb87e8f4cf,BONA_008.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_008,40,NaN,41,6,318,NA,NA,NA,NEON.DOC.000987vG,BENE4,Betula neoalaskana Sarg.,species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226036.774,473306.3055,0.77,65.15664,-147.569321,424.24,1.22,2019-07-31T22:04:00Z,2.48,48.4,21.4,29.813,9.789,6.877,1.327,OK,15.75,11.28,21465.417,61.820369,0.408056581,distributed,basePlot,65.15664,-147.569321,WGS84,6N,473310.339,7226032.329,0.17,Geo 7X,424.24,0.22,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-147.569321, 65.15664)",473306.3242,7226036.788,-147.5694071,65.15667981,14.77999973,438.8768768,14.25700015,185.783062
CFC.BONA008.BENE4-5.20190731,BONA_008.basePlot.vst.41,NEON.PLA.D19.BONA.03037,dcda5e57-d8d8-48cc-a1b7-805ec943322e,BONA_008.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_008,32,NaN,41,4.2,144,NA,NA,NA,NEON.DOC.000987vG,BENE4,Betula neoalaskana Sarg.,species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226028.918,473312.789,0.77,65.15664,-147.569321,424.24,1.22,2019-07-31T22:17:00Z,2.1,47.3,24.6,13.046,4.474,2.971,1.39,OK,15.75,11.28,24971.782,55.662828,0.365212822,distributed,basePlot,65.15664,-147.569321,WGS84,6N,473310.339,7226032.329,0.17,Geo 7X,424.24,0.22,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-147.569321, 65.15664)",473312.8077,7226028.931,-147.5692673,65.15660984,15.85000038,438.4043732,14.05450016,188.5146217
CFC.BONA008.PIGL-1.20190731,BONA_008.basePlot.vst.41,NEON.PLA.D19.BONA.03039,434bf750-1f1c-4091-890f-149c4953a849,BONA_008.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_008,32,NaN,41,6.6,153,NA,NA,NA,NEON.DOC.000987vG,PIGL,Picea glauca (Moench) Voss,species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226026.435,473313.3166,0.77,65.15664,-147.569321,424.24,1.22,2019-07-31T21:27:00Z,1.28,48.5,41.7,18.072,6.4,3.587,0.687,OK,12.22,13.19,2867.031,239.620709,0.425386997,distributed,basePlot,65.15664,-147.569321,WGS84,6N,473310.339,7226032.329,0.17,Geo 7X,424.24,0.22,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-147.569321, 65.15664)",473313.3353,7226026.448,-147.5692556,65.15658761,14.52000046,435.8687477,16.5462501,191.248373
CFC.BONA008.PIGL-3.20190731,BONA_008.basePlot.vst.51,NEON.PLA.D19.BONA.03056,47a72c4c-6428-4082-9e55-2597b91bf075,BONA_008.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_008,41,NaN,51,5.6,220,NA,NA,NA,NEON.DOC.000987vG,PIGL,Picea glauca (Moench) Voss,species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226039.3,473317.1365,0.72,65.156742,-147.569101,425.77,1.12,2019-07-31T21:55:00Z,1.18,48.2,44.7,18.682,6.382,3.415,0.703,OK,12.97,11.91,2087.386,336.784859,0.516531962,distributed,basePlot,65.156742,-147.569101,WGS84,6N,473320.735,7226043.573,0.12,Geo 7X (H-Star),425.77,0.12,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-147.569101, 65.156742)",473317.1354,7226039.283,-147.569177,65.15670307,17.67000008,440.1450005,14.53312504,182.8763113
CFC.BONA008.PIGL-6.20190731,BONA_008.basePlot.vst.41,NEON.PLA.D19.BONA.03032,4c921675-3943-41bf-8a16-b6c1149e356c,BONA_008.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_008,31,NaN,41,4.6,267,NA,NA,NA,NEON.DOC.000987vG,PIGL,Picea glauca (Moench) Voss,species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226032.075,473305.7266,0.77,65.15664,-147.569321,424.24,1.22,2019-07-31T22:32:00Z,3.12,48.3,17,14.991,5.049,2.955,0.637,OK,14.19,14.87,2284.51,278.834411,0.44639103,distributed,basePlot,65.15664,-147.569321,WGS84,6N,473310.339,7226032.329,0.17,Geo 7X,424.24,0.22,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-147.569321, 65.15664)",473305.7453,7226032.088,-147.5694185,65.1566376,17.32999992,435.5787506,13.73349988,187.9295626
CFC.BONA008.POTR5-2.20190731,BONA_008.basePlot.vst.41,NEON.PLA.D19.BONA.03038,359cd82c-efba-485a-b361-f573003db36e,BONA_008.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_008,32,NaN,41,6.2,156,NA,NA,NA,NEON.DOC.000987vG,POTR5,Populus tremuloides Michx.,species,whendricks@battelleecology.org,awatkins@battelleecology.org,NA,6N,7226026.651,473312.842,0.77,65.15664,-147.569321,424.24,1.22,2019-07-31T21:43:00Z,1.25,48.1,42.4,25.232,8.344,6.439,1.554,Insect damaged,14.18,15.06,24293.78,63.966991,0.412749004,distributed,basePlot,65.15664,-147.569321,WGS84,6N,473310.339,7226032.329,0.17,Geo 7X,424.24,0.22,deciduousForest,cdw|cfc|dhp|hbp|vst,"c(-147.569321, 65.15664)",473312.8608,7226026.665,-147.5692657,65.15658952,15.85000038,437.2218723,16.3193751,190.2113113
CFC.BONA093.PIMA-1.20190731,BONA_093.basePlot.vst.41,NEON.PLA.D19.BONA.03593,ba2f5fd6-a5f7-4ba7-818d-eb991b9a9258,BONA_093.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_093,39,NaN,41,4.4,329.1,NA,NA,NA,NEON.DOC.000987vG,PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",species,whendricks@battelleecology.org,avandenberg@battelleecology.org,NA,6N,7225916.794,476339.9634,0.84,65.155801,-147.50463,248.21,1.33,2019-07-31T18:20:00Z,0.81,48.6,65.6,21.578,6.591,4.014,0.375,OK,12.15,15.68,1808.713,207.329742,0.490196078,tower,basePlot,65.155801,-147.50463,WGS84,6N,476342.229,7225913.022,0.24,Geo 7X,248.21,0.33,mixedForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-147.50463, 65.155801)",476339.9694,7225916.797,-147.5046787,65.15583475,11.89999962,255.3775034,6.541999981,169.7175627
CFC.BONA093.PIMA-2.20190731,BONA_093.basePlot.vst.41,NEON.PLA.D19.BONA.01486,eda69589-fd23-45d8-b1df-90221074c1f1,BONA_093.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_093,23,NaN,41,5.8,151.2,NA,NA,NA,NEON.DOC.000987vG,PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",species,whendricks@battelleecology.org,avandenberg@battelleecology.org,NA,6N,7225907.936,476345.0171,0.84,65.155801,-147.50463,248.21,1.33,2019-07-31T18:35:00Z,0.86,48.5,61.9,22.274,6.958,4.16,0.53,OK,11.27,13.93,2560.365,207.001736,0.470692718,tower,basePlot,65.155801,-147.50463,WGS84,6N,476342.229,7225913.022,0.24,Geo 7X,248.21,0.33,mixedForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-147.50463, 65.155801)",476345.0232,7225907.939,-147.5045694,65.15575564,13.52000046,253.5768757,5.675437525,126.5978746
CFC.BONA093.PIMA-3.20190731,BONA_093.basePlot.vst.41,NEON.PLA.D19.BONA.03599,7263c2c2-cbde-400f-b752-699d5973ce03,BONA_093.basePlot.vst,8/21/17,vst_BONA_2017,D19,BONA,BONA_093,39,NaN,41,1.8,281.7,NA,NA,NA,NEON.DOC.000987vG,PIMA,"Picea mariana (Mill.) Britton, Sterns & Poggenb.",species,whendricks@battelleecology.org,avandenberg@battelleecology.org,NA,6N,7225913.383,476340.4604,0.84,65.155801,-147.50463,248.21,1.33,2019-07-31T18:48:00Z,0.83,48.5,64.3,17.018,4.971,3.323,0.845,OK,12.78,16.08,3621.199,233.348126,0.500296033,tower,basePlot,65.155801,-147.50463,WGS84,6N,476342.229,7225913.022,0.24,Geo 7X,248.21,0.33,mixedForest,bbc|cdw|cfc|dhp|hbp|ltr|vst,"c(-147.50463, 65.155801)",476340.4664,7225913.387,-147.5046675,65.15580419,12.56000042,252.961875,4.287562542,135.3371863
