individualID,sampleID,plotID,dataEntryLatitude,dataEntryLongitude,dataEntryAltitude,sampleCode,chlorophyllSampleID,chlorophyllSampleCode,taxonID,plantStatus,lmaSampleID,lmaSampleCode,lmaSampleCondition,dryMass,lmaFreshMass,leafArea,dryMassFraction,percentGreen,subsample1Height,chlA_perc,chlB_perc,carot_perc,extractChlAConc,extractChlBConc,extractCarotConc,solventVolume,freshMass,chlA_perc_dw,chlB_perc_dw,carot_perc_dw
NEON.PLA.D03.JERC.01007,CFC.JERC001.QUFA-3.20190911,JERC_001.basePlot.cfc,31.2287879409559,-84.4760419987929,50.1262474060059,A00000134964,CFC.JERC001.QUFA-3.20190911.CHL,B00000063451,QUFA,OK,CFC.JERC001.QUFA-3.20190911.LMA,A00000134989,OK,2.664,4.22,20442.73,0.631279620853,100,17.5,1184.1114982578397,330.12775842044135,304.2973286875726,12.744,3.553,3.275,8,0.0861,0.1875732178171442,0.052295012782824335,0.048203255520334845
NEON.PLA.D03.JERC.05911,CFC.JERC001.SAAL5-2.20190911,JERC_001.basePlot.cfc,31.2288749870204,-84.4759532344383,45.8297386169434,A00000134947,CFC.JERC001.SAAL5-2.20190911.CHL,B00000063450,SAAL5,OK,CFC.JERC001.SAAL5-2.20190911.LMA,A00000134976,OK,1.578,3.754,21207.1,0.420351624933,100,1.6,1352.807881773399,474.08866995073896,398.8177339901478,13.731,4.812,4.048,8,0.0812,0.32182767985945665,0.11278383187558848,0.09487717195186662
NA,CFC.JERC001.CLIP-1.20190911,JERC_001.basePlot.cfc,31.228897757249,-84.4760213416924,49.1100006103516,A00000128909,CFC.JERC001.CLIP-1.20190911.CHL,B00000063452,NA,NA,CFC.JERC001.CLIP-1.20190911.LMA,A00000134981,OK,0.791,1.798,10186.28,0.439933259177,100,NA,693.1063829787234,185.19148936170214,200.3404255319149,8.144,2.176,2.354,8,0.094,0.1575480754229276,0.0420953600344168,0.04553882239017332
NEON.PLA.D03.JERC.05917,CFC.JERC016.VAAR-1.20190911,JERC_016.basePlot.cfc,31.228885014067,-84.4759514935385,49.1100006103516,A00000134895,CFC.JERC016.VAAR-1.20190911.CHL,B00000063476,VAAR,OK,CFC.JERC016.VAAR-1.20190911.LMA,A00000135005,OK,1.092,3.42,16744.49,0.319298245614,100,1.6,843.2502708559047,283.7703141928494,173.52112676056336,9.729,3.274,2.002,8,0.0923,0.26409486504830687,0.08887312037908898,0.05434452871073186
NEON.PLA.D03.JERC.00105,CFC.JERC010.QUMA6-1.20190911,JERC_010.basePlot.cfc,31.2289927108504,-84.4756548386854,49.8085594177246,A00000134950,CFC.JERC010.QUMA6-1.20190911.CHL,B00000063473,QUMA6,Insect damaged,CFC.JERC010.QUMA6-1.20190911.LMA,A00000134930,OK,2.396,4.064,23786.19,0.589566929134,100,3.5,1897.3180076628353,536.3984674329502,486.43678160919535,24.76,7,6.348,8,0.1044,0.321815541867275,0.09098177677992428,0.08250747414270847
NEON.PLA.D03.JERC.07813,CFC.JERC047.DIVI5-2.20190910,JERC_047.basePlot.cfc,31.2289829459332,-84.4758876879555,46.0407371520996,A00000134946,CFC.JERC047.DIVI5-2.20190910.CHL,B00000023303,DIVI5,Leaves beginning to senesce,CFC.JERC047.DIVI5-2.20190910.LMA,A00000134944,OK,2.188,4.347,27979.82,0.50333563377,100,1.71,1015.140771637122,404.6715328467153,617.8936392075078,12.169,4.851,7.407,8,0.0959,0.20168267524269745,0.08039795033300397,0.12275976460864985
NEON.PLA.D03.JERC.01916,CFC.JERC028.CAGL8-2.20190910,JERC_028.basePlot.cfc,31.2288493384,-84.475999754,35.973323822,A00000134894,CFC.JERC028.CAGL8-2.20190910.CHL,B00000063479,CAGL8,OK,CFC.JERC028.CAGL8-2.20190910.LMA,A00000134999,OK,2.32,3.527,28126.54,0.657782818259,100,17.5,1327.052186177715,400.7898448519041,357.4612129760226,11.761,3.552,3.168,8,0.0709,0.20174625261421655,0.06093042167211098,0.05434334905890979
NEON.PLA.D03.JERC.01885B,CFC.JERC028.QUMA6-1.20190910,JERC_028.basePlot.cfc,31.2290971075,-84.4760697429,47.9266014099,A00000134877,CFC.JERC028.QUMA6-1.20190910.CHL,B00000063480,QUMA6,OK,CFC.JERC028.QUMA6-1.20190910.LMA,A00000129027,OK,3.73,6.96,28938.53,0.53591954023,100,16.5,1340.5714285714284,462.09523809523813,339.50476190476195,17.595,6.065,4.456,8,0.105,0.2501441593258751,0.0862247414783423,0.0633499502106337
NEON.PLA.D03.JERC.02547A,CFC.JERC047.CAGL8-1.20190910,JERC_047.basePlot.cfc,31.2289764499583,-84.4760083873612,36.4215354919434,A00000134887,CFC.JERC047.CAGL8-1.20190910.CHL,B00000063486,CAGL8,OK,CFC.JERC047.CAGL8-1.20190910.LMA,A00000134982,OK,2.001,3.011,17913.39,0.664563268017,100,8.6,683.3690658499235,223.09341500765697,340.21439509954064,5.578,1.821,2.777,8,0.0653,0.1028297979647654,0.03356992866508386,0.05119368034208561
NEON.PLA.D03.JERC.05916,CFC.JERC019.CAAM2-3.20190910,JERC_019.basePlot.cfc,31.2289822334714,-84.476002603848,36.4239158630371,A00000134910,CFC.JERC019.CAAM2-3.20190910.CHL,B00000023304,CAAM2,Other damage,CFC.JERC019.CAAM2-3.20190910.LMA,A00000134909,OK,2.184,4.395,24357.77,0.496928327645,100,2.3,1017.6514215080347,372.11372064276884,316.9344870210136,10.291,3.763,3.205,8,0.0809,0.20478836985019566,0.07488277482715831,0.06377871201728472
